text,topic
"Aquí se da una lista con los países que celebran oficialmente el Día de la Independencia, con la respectiva fecha de cada uno y el evento que lo inspira. Nótese que algunos de los estados representados nunca se independizaron (España, Reino Unido, Italia, Japón, Tailandia....) por lo que no tiene sentido ponerles un día específico de celebración como sí se lo haría de lo contrario.
",<200 https://es.wikipedia.org/wiki/Anexo:D%C3%ADa_de_la_Independencia>
"La Declaración de Independencia de la Argentina fue una decisión tomada el martes 9 de julio de 1816 por el Congreso de Tucumán, por la cual declaró la formal ruptura de los vínculos de dependencia política de las Provincias Unidas del Río de la Plata con la monarquía española. La declaración fue realizada en la Casa de Tucumán, ubicada en la ciudad de San Miguel de Tucumán, donde sesionaba la asamblea. Diez días más tarde, el mismo Congreso renunció también a toda otra dominación extranjera. El acto forma parte del movimiento de independencia hispanoamericana del Imperio español.
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"En 1814, el rey Fernando VII de España había regresado al trono español. Esta situación quitó argumentos de acción a los hombres que habían iniciado la Revolución de Mayo en el Virreinato del Río de la Plata e instaurado la Primera Junta en 1810 —y los gobiernos que habían sucedido a ésta— bajo la premisa de la Máscara de Fernando VII. Ya no podían actuar en nombre del rey de España porque éste volvió a estar en el poder efectivo. El rey quería reconquistar sus colonias; los realistas, que eran los partidarios del colonialismo, habían triunfado en Huaqui, Vilcapugio y Ayohúma, y eran fuertes en el Alto Perú, la actual Bolivia. Desde allí pensaban atacar las bases de los independentistas e invadir todo el actual territorio de Argentina teniendo como objetivo la ciudad de Buenos Aires.[2]​
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"El 15 de abril de 1815, una revolución terminó con el gobierno centralista del Director Supremo de las Provincias Unidas del Río de la Plata, general Carlos María de Alvear. Los revolucionarios exigieron la convocatoria de un Congreso General Constituyente. Inicialmente se enviaron diputados de todas las provincias iniciando las sesiones el 24 de marzo de 1816. Cada delegado representaba 15.000 habitantes.
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"Sin embargo la situación de los patriotas independentistas en su frontera noroeste no estuvo asegurada hasta que en marzo de 1816 el general porteño José Rondeau aceptó firmar el Pacto de los Cerrillos con el caudillo salteño (Salta incluía a Jujuy y Tarija) Martín Miguel de Güemes. A partir de ese momento, las fuerzas de Güemes sostuvieron la lucha en el frente norte, liberando a los ejércitos del gobierno nacional para que, al mando del general José de San Martín, pudieran avanzar contra sus enemigos más allá de la Cordillera de los Andes hacia Chile y luego hasta Perú. Mientras tanto, el caudillo José Gervasio Artigas y sus aliados defendían el territorio de las incursiones portuguesas,[3]​ pese a las actitudes ambiguas de los gobernantes porteños.
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"El Congreso de Tucumán inició sus sesiones en la Casa de Tucumán ubicada en San Miguel de Tucumán, el 24 de marzo de 1816, con la presencia de 33 diputados. Según la decisión de los propios delegados, la presidencia del Congreso era rotativa y cambiaba cada mes.
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"Fueron distintas las causales por las que diversas provincias que habían pertenecido al Virreinato del Río de la Plata no enviaron diputados. 
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"Varias provincias del Alto Perú, entre ellas Potosí, Cochabamba y La Paz, habían caído nuevamente en poder de los realistas. Empero gracias a la Tercera expedición auxiliadora al Alto Perú enviaron diputados al Congreso de Tucumán Chichas, Charcas y Mizque. 
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"Distinta fue la situación de las provincias ""de abajo"": exceptuando a Córdoba, las provincias de la Liga de los Pueblos Libres o Liga Federal —la Provincia Oriental (sector principal de la Banda Oriental), Corrientes, Entre Ríos, Misiones y Santa Fe— resolvieron no concurrir al Congreso de Tucumán como consecuencia de la oposición del caudillo oriental Artigas a la firma del acuerdo de paz definitivo alcanzado en el Pacto de Santo Tomé —firmado el 9 de abril de 1816, por el que se había reconocido la autonomía de Santa Fe— y que fue finalmente dejado de lado por el nuevo Director Supremo, Antonio González Balcarce, y por el Congreso de Tucumán.[4]​
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"El Día Mundial de la Población es un evento anual que se celebra cada año el 11 de julio con el fin de tomar conciencia de las temáticas globales demográficas. El evento fue establecido por el Programa de las Naciones Unidas para el Desarrollo (PNUD) en 1989, en virtud de que alrededor de este día, pero dos años atrás, la Tierra alcanzó los cinco mil millones de habitantes.[1]​
",<200 https://es.wikipedia.org/wiki/D%C3%ADa_Mundial_de_la_Poblaci%C3%B3n>
"La población 11 de julio de 2008, en el aniversario número veinticinco del ""día de los cinco mil millones"", se estimó en 6.727.551.263. En 1968, los líderes mundiales proclamaron responsablemente el número y el espaciamiento de sus hijos. Cuarenta años después, los métodos anticonceptivos modernos permanecen inasequibles para cientos de millones de mujeres y hombres.
",<200 https://es.wikipedia.org/wiki/D%C3%ADa_Mundial_de_la_Poblaci%C3%B3n>
